,artist_id,artist_name,genres,popularity
0,7n2Ycct7Beij7Dj7meI4X0,TWICE,"['k-pop', 'k-pop girl group']",86
1,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"['k-pop', 'k-pop girl group']",85
2,3Nrfpe0tUJi4K4DXYWgMUX,BTS,"['k-pop', 'k-pop boy group']",96
3,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,"['k-pop', 'k-pop girl group']",71
4,26VFTg2z8YR0cCuwLzESi2,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",87
5,250b0Wlc5Vk0CoUsaCY84M,JENNIE,['k-pop'],65
6,4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,"['k-pop', 'k-pop boy group']",69
7,5DuzBeOgFwViFcv00Q5PFb,WINNER,"['k-pop', 'k-pop boy group']",60
8,5r1tUTxVSgvBHnoDuDODPH,IZ*ONE,"['k-pop', 'k-pop girl group']",68
9,52zMTJCKluDlFwMQWmccY7,LOONA,"['k-pop', 'k-pop girl group']",70
10,1z4g3DjTBBZKhvAroFlhOM,Red Velvet,"['k-pop', 'k-pop girl group']",75
11,2KC9Qb60EaY0kW4eH68vr3,ITZY,['k-pop girl group'],79
12,6OwKE9Ez6ALxpTaKcT5ayv,AKMU,['k-pop'],65
13,6nfDaffa50mKtEOwR8g4df,GOT7,"['k-pop', 'k-pop boy group']",68
14,0hT0UrjmzkLJouAT52ck6j,Park Kyung,['korean pop'],42
15,4MLK9Hhz7UhxAzU2awoLxk,EUNHA,[],47
16,2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,"['k-pop', 'k-pop girl group']",73
17,1lHfzEkKmmvdVDDDLKkcsd,CIX,['k-pop'],56
18,4k5fFEYgkWYrYvtOK3zVBl,BOL4,['k-pop'],67
19,6QyO41KctzGc70mVaVnXQO,CLC,"['k-pop', 'k-pop girl group', 'korean city pop']",60
20,3wRA5UYoo08BBKJnzyKkpF,f(x),"['k-pop', 'k-pop girl group']",57
21,2eRjqXdTsssjpimRlz1i41,H.I.N.P (Hot Issue of Ntl. Producers),"['k-pop', 'k-pop reality show']",48
22,2QM5S4yO6xHgnNvF0nbZZq,SEULGI,['k-pop'],57
23,2PSJ6YriU7JsFucxACpU7Y,CHUNG HA,['k-pop'],69
24,0tZl5OAXf9jYXFmfRGejs2,SinB,['korean ost'],50
25,6Xg22wJOAcnvPUfk5WvODH,JEON SOYEON,['k-pop'],61
26,6MoXcK2GyGg7FIyxPU5yW6,SUNMI,['k-pop'],67
27,1B96WL8omj1rxR2eJg1EqK,1AM,[],0
28,7F1iAHRYxR3MY7yAEuFqgL,Jihyo,[],30
29,5fnb8S2ezlVH9xymScJrlM,나연,[],30
30,4FFzXvfKlDq1Ntq7jZxc2C,쯔위,[],30
31,1k2G1Rqm8yYIIUpN364CwE,Chaeyeong,[],30
32,7H7jQxAxVm0E8zzP92riSI,Memory Fabricators,['k-pop reality show'],31
33,3z8diLlUCkN1j9N9ZdnfBJ,NiziU,['j-pop'],66
34,5TnQc2N1iKlFjYD7CPGvFc,DAY6,"['k-pop', 'k-pop boy group']",70
37,6kgXeMO4kd68uf4oEFHRS1,ORESAMA,['anime'],41
39,5AfbFgeqRYOGZbu3lYtZLe,yukaDD(;´∀｀),[],37
40,3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW,"['k-pop', 'k-pop girl group']",70
41,0qlWcS66ohOIi0M8JZwPft,GFRIEND,"['k-pop', 'k-pop girl group']",65
43,3HqSLMAZ3g3d5poNaI7GOU,IU,['k-pop'],77
44,73B9bjqS2Z5KLXNGqXf64m,Weeekly,['k-pop'],64
45,0BqRGrwqndrtNkojXiqIzL,Whee In,"['k-pop', 'korean ost']",62
46,5dCvSnVduaFleCnyy98JMo,HEIZE,"['k-pop', 'korean pop', 'korean r&b']",65
47,6YVMFz59CuY7ngCxTxjpxE,aespa,"['k-pop', 'k-pop girl group']",77
48,5Pcx98OUnL52aGZRRQx5v8,DIA,"['k-pop', 'k-pop girl group']",44
49,7zYj9S9SdIunYCfSm7vzAR,JEON SOMI,['k-pop'],71
50,0ZjVwJw2cFymrcIwmGuVEl,DALsooobin,['korean electropop'],30
51,5KPaeBm0fVfCSZLydp9jdy,LOOΠΔ / ODD EYE CIRCLE,"['k-pop', 'k-pop girl group']",54
53,3LFFf4EpKn2krneZ9vozyz,JO YURI,['korean ost'],54
55,49muoiIu4uea4PO8vueUNN,YENA,['k-pop'],61
56,0qr7Rhj0yU7BPySYecNUlm,KWON EUN BI,['k-pop'],46
57,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,"['boy band', 'hip hop', 'pop', 'rap']",75
58,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"['dance pop', 'pop', 'uk pop']",94
59,1dfeR4HaWDbWqFHLkxsg1d,Queen,"['classic rock', 'glam rock', 'rock']",88
60,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"['pop', 'r&b', 'soul']",85
61,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,"['mellow gold', 'new wave pop', 'permanent wave', 'soft rock']",73
62,5PN2aHIvLEM98XIorsPMhE,Kim Carnes,"['mellow gold', 'new wave pop', 'soft rock']",63
