,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,1t4pPnbkOjzoA5RvsDjvUU,1999 WILDFIRE,BROCKHAMPTON,1999 WILDFIRE,2018-07-07,0.57,-8.093,128.066,0.814,0.811,4:11
1,3djWN7th03XZtmF5s3C1Lv,J'OUVERT,BROCKHAMPTON,iridescence,2018-09-21,0.703,-4.114,83.984,0.501,0.719,3:54
2,3NuN59jpH3B5cNa2M4r7XG,BOOGIE,BROCKHAMPTON,SATURATION III,2017-12-15,0.933,-3.034,110.029,0.28,0.604,3:13
3,1m4C9zlV89rXTfXStluvec,ZIPPER,BROCKHAMPTON,SATURATION III,2017-12-15,0.681,-4.357,113.989,0.687,0.835,3:22
4,5lbCjKgdT9pvYjrtmSiRvL,HOTTIE,BROCKHAMPTON,SATURATION III,2017-12-15,0.712,-6.355,128.994,0.774,0.856,3:17
5,4O9tOyMOq8Oioun2MsULH5,RENTAL,BROCKHAMPTON,SATURATION III,2017-12-15,0.452,-7.947,82.012,0.514,0.672,3:33
6,66dQdXAbtuPdSasezCQVZE,SUMMER,BROCKHAMPTON,SATURATION II,2017-08-25,0.55,-6.13,79.955,0.542,0.497,3:24
7,1CKhx6sSkUxzomXnYZqSMh,TOKYO,BROCKHAMPTON,SATURATION II,2017-08-25,0.625,-5.781,139.981,0.535,0.632,3:12
8,7HRv1sYuwgoea1m0JRvChV,GOLD,BROCKHAMPTON,SATURATION,2017-06-09,0.647,-6.947,110.036,0.29,0.808,4:26
9,55jQMevNp7aWtiW5LPlPoa,1997 DIANA,BROCKHAMPTON,1997 DIANA,2018-07-27,0.719,-7.643,137.096,0.906,0.805,2:15
10,2DgMxFMUQRPthW4ROhjen1,SWEET,BROCKHAMPTON,SATURATION II,2017-08-25,0.628,-6.007,92.107,0.722,0.718,4:34
11,1cuYCAodLWgzhwE2KFZ8rC,WASTE,BROCKHAMPTON,SATURATION,2017-06-09,0.412,-11.262,116.84,0.409,0.416,2:34
12,0ToC28lLiwEKyQdN4FXypS,1998 TRUMAN,BROCKHAMPTON,1998 TRUMAN,2018-07-19,0.713,-6.206,134.994,0.482,0.607,4:05
13,0dWOFwdXrbBUYqD9DLsoyK,BLEACH,BROCKHAMPTON,SATURATION III,2017-12-15,0.657,-6.498,156.093,0.718,0.595,4:33
14,42tBlHWL3VfDkUM2iWcc5p,GUMMY,BROCKHAMPTON,SATURATION II,2017-08-25,0.672,-5.975,80.035,0.792,0.687,4:21
15,7ujucw8kFBPIy9mz7DlmAq,JUNKY,BROCKHAMPTON,SATURATION II,2017-08-25,0.662,-5.497,82.327,0.675,0.638,4:08
16,694vvR5o19xHPhhJ5QdLN7,NO HALO,BROCKHAMPTON,GINGER,2019-08-23,0.573,-7.034,165.192,0.47,0.643,4:19
17,6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,GINGER,2019-08-23,0.538,-8.212,122.973,0.516,0.453,3:24
18,6e7hIhOLH9zvb3zP5O5gt0,BOY BYE,BROCKHAMPTON,GINGER,2019-08-23,0.747,-7.143,124.932,0.784,0.869,2:22
19,1Uo7reO6I2yQ1q36ZPuNf7,GINGER,BROCKHAMPTON,GINGER,2019-08-23,0.715,-5.137,130.087,0.226,0.748,3:54
20,4sEnZad9gvLSLkyt8DW11O,QUEER,BROCKHAMPTON,SATURATION II,2017-08-25,0.625,-7.029,82.004,0.676,0.773,3:47
21,4zbb4mISfck5isCpFsjsr3,GAMBA,BROCKHAMPTON,SATURATION II,2017-08-25,0.511,-8.055,95.045,0.296,0.652,3:22
22,1xfFPJdRjgDAaMcDgbXwyh,STAR,BROCKHAMPTON,SATURATION,2017-06-09,0.388,-9.143,75.01,0.294,0.776,2:41
23,4m2lVqfPeSTD3azgBJHowK,FAKE,BROCKHAMPTON,SATURATION,2017-06-09,0.435,-9.769,125.894,0.645,0.7,4:35
24,5bknBRjKJZ643DAN2w8Yoy,FACE,BROCKHAMPTON,SATURATION,2017-06-09,0.702,-5.016,119.887,0.678,0.945,4:19
25,1ZuQVisBNDRm51QIN9MajR,JELLO,BROCKHAMPTON,SATURATION II,2017-08-25,0.569,-6.628,139.953,0.641,0.92,4:00
26,0q788echtkCMpQoQes4P6b,JOHNNY,BROCKHAMPTON,SATURATION III,2017-12-15,0.858,-5.359,80.352,0.869,0.612,4:11
27,0R6UBiz3fJk4lxhKR5799F,STAINS,BROCKHAMPTON,SATURATION III,2017-12-15,0.662,-7.226,113.022,0.645,0.643,2:59
28,5kkxyqYSQrnHpfsmkjKi81,NEW ORLEANS,BROCKHAMPTON,iridescence,2018-09-21,0.815,-4.962,159.903,0.4,0.639,4:03
29,2c09gumRCmu3qmbcqdQbUN,THUG LIFE,BROCKHAMPTON,iridescence,2018-09-21,0.74,-6.195,159.959,0.37,0.576,2:02
30,7GxBuIJugWanLsYj0mDrFX,BERLIN,BROCKHAMPTON,iridescence,2018-09-21,0.621,-6.626,142.087,0.644,0.716,3:19
31,7oYvZtOelvW0mDrcUZ3m67,DISTRICT,BROCKHAMPTON,iridescence,2018-09-21,0.738,-6.728,122.525,0.515,0.66,3:31
32,6cgFCTrw2kWwZm7SF7r6Po,HONEY,BROCKHAMPTON,iridescence,2018-09-21,0.787,-6.343,109.966,0.178,0.74,3:15
33,438wODjSTL2jgn1nePaNew,SUGAR (Remix) [feat. Dua Lipa],"BROCKHAMPTON, Dua Lipa",SUGAR (Remix) [feat. Dua Lipa],2020-03-06,0.523,-5.902,122.948,0.536,0.661,3:42
