,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,4WdopfTdSd0nCLropjhsgH,The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.933,-3.476,170.13,0.708,0.501,2:54
1,0N90pptABhFyr1axONlIEB,London Beckoned Songs About Money Written by Machines,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.934,-3.347,169.907,0.591,0.513,3:23
2,5VHwEHR0IfvV4f7V7o0qnt,"Nails for Breakfast, Tacks for Snacks",Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.946,-4.134,145.004,0.621,0.6,3:23
3,2hgkutEHVmJRg7drAJAFHi,Camisado,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.913,-3.493,156.076,0.409,0.538,3:11
4,4C2i4NymWRem1LOVEqwWV6,Time to Dance,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.97,-2.512,170.19,0.431,0.425,3:22
5,5eB7w8UZJKjL5XmnC6Pctg,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.8,-4.644,125.966,0.476,0.66,3:20
6,2ZqTtndqAZDRAWw2vgZwQK,But It's Better If You Do,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.848,-3.063,170.038,0.674,0.467,3:25
7,4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.83,-4.106,170.094,0.609,0.569,3:06
8,3obggbhnOjjnytaGM1hpDR,I Constantly Thank God for Esteban,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.817,-5.56,167.002,0.653,0.629,3:30
9,4xSVkbqCz1xaevkjP8xXL5,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.737,-4.124,116.98,0.653,0.427,3:16
10,4rstj4vgkFq49R2VV0fbxX,"Build God, Then We'll Talk",Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.828,-4.132,124.783,0.448,0.418,3:40
11,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,2013-09-09,0.532,-7.596,85.03,0.405,0.548,4:32
12,2AT8iROs4FQueDv2c8q2KE,R U Mine?,Arctic Monkeys,AM,2013-09-09,0.758,-5.692,97.094,0.619,0.288,3:21
13,6wNUBZNWFxdUGof6vkaykE,One For The Road,Arctic Monkeys,AM,2013-09-09,0.668,-6.849,180.048,0.842,0.415,3:26
14,7nzsY8vlnKdvGOEE0rjAXZ,Arabella,Arctic Monkeys,AM,2013-09-09,0.558,-6.986,179.949,0.506,0.579,3:27
15,1j9rezdE3YeC7yktZXC1em,I Want It All,Arctic Monkeys,AM,2013-09-09,0.81,-5.579,131.052,0.288,0.499,3:05
16,5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,AM,2013-09-09,0.698,-5.563,115.013,0.599,0.505,4:03
17,75n7mraeMycQOl2sDGYaTe,Mad Sounds,Arctic Monkeys,AM,2013-09-09,0.462,-10.71,80.001,0.485,0.532,3:35
18,4atMrAadB7dS8xn9vfk9PQ,Fireside,Arctic Monkeys,AM,2013-09-09,0.953,-5.611,100.033,0.74,0.538,3:01
19,086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,2013-09-09,0.631,-6.478,92.004,0.8,0.691,2:41
