,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,2005-05-03,0.842,-4.784,162.011,0.574,0.494,3:49
1,6ihL9TjfRjadfEePzXXyVF,Gives You Hell,The All-American Rejects,When The World Comes Down,2008-01-01,0.691,-6.44,100.008,0.552,0.718,3:33
2,0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",Fall Out Boy,From Under The Cork Tree,2005-05-03,0.961,-3.198,114.452,0.449,0.622,3:00
3,2ZqTtndqAZDRAWw2vgZwQK,But It's Better If You Do,Panic! At The Disco,A Fever You Can't Sweat Out,2005-09-27,0.848,-3.063,170.038,0.674,0.467,3:25
4,2H6rj2XaBUJnag8iS2uKCt,Don't Lie,Vampire Weekend,Modern Vampires of the City,2013-05-27,0.72,-7.132,180.112,0.804,0.486,3:33
5,6GIrIt2M39wEGwjCQjGChX,The Great Escape,Boys Like Girls,Boys Like Girls,2007-08-31,0.94,-4.012,149.934,0.505,0.423,3:26
6,6c8QH9FMFKj0ZgNeiyOx4v,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),2005-10-07,0.699,-5.221,116.029,0.733,0.591,3:56
7,3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,Fall Out Boy,Infinity On High,2007-01-01,0.891,-5.057,154.837,0.588,0.459,3:23
8,6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",2008-06-17,0.917,-3.159,126.115,0.601,0.55,2:57
9,2l57cfmCnOkwNX1tky02n1,Move Along,The All-American Rejects,Move Along,2005-01-01,0.916,-3.858,109.864,0.646,0.518,3:58
10,6vrUTGn5p8IrfTZ0J6sIVM,Iris,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,2007-11-06,0.79,-5.683,155.667,0.513,0.291,4:49
11,0lP4HYLmvowOKdsQ7CVkuq,The Kill,Thirty Seconds To Mars,A Beautiful Lie,2005-01-01,0.912,-3.881,182.99,0.289,0.179,3:51
12,3t87C08isN6yw2DnWOorLm,Hannah Hunt,Vampire Weekend,Modern Vampires of the City,2013-05-27,0.313,-10.098,207.969,0.164,0.345,3:57
13,7L605WhF5EGf34ggj87yK6,You And Me,Lifehouse,Lifehouse,2005-01-01,0.446,-7.703,139.868,0.375,0.461,3:15
14,1oagRT7LfpVlNJN6FSZDGp,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,Infinity On High,2007-01-01,0.887,-4.07,199.935,0.408,0.435,3:32
15,3mcG2NI5G5vhrQtRda1YnA,The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),2001,0.897,-3.401,161.944,0.93,0.629,2:48
16,4jVhSbMMHctghoOTFuLPB2,"Swing, Swing",The All-American Rejects,The All-American Rejects,2002-01-01,0.691,-5.888,127.946,0.367,0.54,3:53
17,3goXG2iW7gu5tsHeS8pBIR,1985 (Original Version),SR-71,Here We Go Again (US Edition),2010-11-21,0.801,-4.574,120.095,0.709,0.582,3:42
18,6xyiHZgrmXw7sMyYXbXjPV,Everything Is Alright,Motion City Soundtrack,Commit This To Memory,2005-06-07,0.95,-3.869,160.987,0.457,0.435,3:27
19,1mLTikPTdJz0yfarfrXkSi,Sick Little Games,All Time Low,Nothing Personal (Deluxe Version),2009-07-07,0.776,-4.416,96.956,0.38,0.483,3:36
