,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,7hQJA50XrCWABAu5v6QZ4i,Don't Stop Me Now - Remastered 2011,Queen,Jazz (Deluxe Remastered Version),1978-11-10,0.865,-5.277,156.271,0.601,0.563,3:29
1,3zYpRGnnoegSpt3SguSo3W,Off the Wall,Michael Jackson,Off the Wall,1979-08-10,0.595,-13.909,118.741,0.921,0.827,4:06
2,4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,1983-10-14,0.799,-4.897,120.372,0.725,0.71,3:58
3,2CIDqYfIYfl9vx02wIyCG9,All Through the Night,Cyndi Lauper,She's So Unusual,1983-10-14,0.65,-5.934,95.1,0.346,0.573,4:32
4,0odIT9B9BvOCnXfS0e4lB5,Bette Davis Eyes,Kim Carnes,Mistaken Identity,1981-01-01,0.649,-10.271,116.624,0.596,0.675,3:48
5,7Cuk8jsPPoNYQWXK9XRFvG,September,"Earth, Wind & Fire",September,2018-04-17,0.831,-7.288,125.901,0.98,0.694,3:35
6,6RANU8AS5ICU5PEHh8BYtH,Isn't She Lovely,Stevie Wonder,Songs In The Key Of Life,1976-09-28,0.826,-6.974,118.679,0.819,0.481,6:34
7,2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,Hunting High and Low,1985-06-01,0.902,-7.638,84.412,0.876,0.573,3:45
8,4aWn4NHlELpOehxsBaQeoe,Don't You (Forget About Me),Simple Minds,Once Upon A Time (Deluxe),1985,0.816,-6.61,111.346,0.678,0.66,4:23
9,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),1983-01-04,0.711,-7.498,125.135,0.875,0.692,3:36
10,2374M0fQpWi3dLnB54qaLX,Africa,TOTO,Toto IV,1982-04-08,0.373,-18.064,92.718,0.732,0.671,4:55
11,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,Escape,1981,0.748,-9.072,118.852,0.514,0.5,4:10
12,2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,Culture Club,Colour By Numbers,1983-10-01,0.73,-7.182,92.049,0.894,0.668,4:12
13,6XHNIbru8xGohLzHNgxQvF,Forever Young - 2019 Remaster,Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),1984,0.471,-9.711,137.012,0.291,0.483,3:46
14,4jacsL77ZYnpInmTtUBaJW,Move Your Feet,Junior Senior,d-d-don't don't stop the beat (Explicit Content U.S. Version),2003-07-25,0.895,-2.619,118.871,0.844,0.755,3:01
15,6t1FIJlZWTQfIZhsGjaulM,Video Killed The Radio Star,The Buggles,The Age Of Plastic,1980-01-10,0.61,-13.811,131.037,0.344,0.675,4:13
16,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,Agent Provocateur,1984-12-12,0.471,-10.036,81.204,0.423,0.477,5:04
17,4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,1998-11-09,0.629,-8.815,153.119,0.786,0.574,5:00
18,5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,An Innocent Man,1983-08-08,0.944,-2.986,128.993,0.792,0.701,3:17
19,3FtYbEfBqAlGO46NUDQSAt,Electric Feel,MGMT,Oracular Spectacular,2007-12-14,0.803,-3.713,103.04,0.561,0.763,3:49
20,39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,Duran Duran,Rio (Collector's Edition),1982-05-10,0.812,-7.772,127.568,0.685,0.691,3:40
21,1YGZyfvdgZxzipWoWYVKxi,Kids In America,Kim Wilde,Kim Wilde,1981,0.782,-3.899,159.621,0.305,0.557,3:25
22,1I6q6nwNjNgik1Qe8Oi0Y7,Do You Really Want To Hurt Me,Culture Club,Kissing To Be Clever,1982-09-01,0.376,-14.996,100.78,0.42,0.744,4:22
23,7FEFqom81vgPznZalT4gBR,It's Your Move,Diana Ross,Swept Away (Expanded Edition),1984-09-13,0.636,-8.26,117.338,0.959,0.847,3:32
24,6CQaVuICm1WVXyy3SZ5jEI,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,Back To Black: B-Sides,2007-01-01,0.367,-5.759,96.008,0.681,0.757,3:53
25,58mFu3oIpBa0HLNeJIxsw3,Heaven Is A Place On Earth,Belinda Carlisle,Heaven On Earth,1987-10-05,0.81,-10.19,122.868,0.804,0.64,4:07
26,7cv28LXcjAC3GsXbUvXKbX,I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,2000-01-01,0.725,-8.681,116.669,0.529,0.777,3:18
27,0MKqeOVdZcUFGJvWpGCKbG,Come Together - Remastered,The Beatles,Abbey Road (Remastered),1969-09-26,0.376,-11.913,165.007,0.187,0.533,4:19
28,5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,Bob Seger,Stranger In Town,1978-05-05,0.937,-2.947,124.13,0.964,0.714,3:14
29,0uTVChzibEWKrXojPaJ9y1,Hard Candy Christmas,Dolly Parton,Once Upon A Christmas,1984-10-29,0.397,-7.63,99.822,0.235,0.531,3:37
30,5kuvOXaO2WiHwES81fSeu3,A Teenager in Love - 2012 Remaster,Red Hot Chili Peppers,Rock & Roll Hall of Fame Covers - EP,2012-05-01,0.773,-6.609,77.071,0.745,0.519,3:00
31,67iAlVNDDdddxqSD2EZhFs,I'm Gonna Be (500 Miles),The Proclaimers,Sunshine on Leith,1988,0.551,-5.177,131.922,0.807,0.851,3:39
32,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley,Building The Perfect Beast,1984-01-01,0.549,-13.741,176.941,0.907,0.516,4:48
33,3VZmChrnVW8JK6ano4gSED,Sexual Healing,Marvin Gaye,Midnight Love,1982-10-01,0.602,-9.7,94.382,0.744,0.805,3:58
34,0TMSVef2B1NnVCqonuIiEz,Come On Eileen,Dexys Midnight Runners,World Of Dance: New Wave The 80's,1995-04-16,0.639,-9.564,107.865,0.93,0.473,4:02
35,45eF0AQGCTgkUJ3FoIYrbe,Total Eclipse of the Heart,Bonnie Tyler,Faster Than The Speed Of Night,1983-07-16,0.512,-12.875,131.386,0.197,0.439,6:58
36,4zEi4tr3lEhiAvTRxEzbEz,Oh Sherrie,Steve Perry,Street Talk (Expanded Edition),1984-04-01,0.695,-5.116,203.753,0.317,0.333,3:49
37,3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,Outlandos D'Amour (Remastered 2003),1978-11-02,0.748,-8.905,134.114,0.663,0.618,3:11
38,2w4EpqGasrz9qdTwocx54t,Open Arms,Journey,Escape,1981,0.21,-13.214,100.577,0.174,0.405,3:22
39,2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,Greatest,1979-01-01,0.357,-9.366,104.938,0.674,0.633,4:05
40,70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Billy Joel,Piano Man (Legacy Edition),1973-11-07,0.55,-6.483,177.734,0.429,0.331,5:39
41,7dL8FCLzEaWC2A3qWQuz1q,What You Won't Do for Love,Bobby Caldwell,What You Won't Do for Love,1991-10-10,0.397,-16.842,84.064,0.798,0.642,4:46
42,29pzjF6ZkzcW3ofgOVbF0t,Here I Go Again,Whitesnake,Saints & Sinners,1982-11-20,0.634,-12.967,174.443,0.354,0.213,5:08
43,2dINjMxChoALja13fOn99R,You Do Something To Me,Paul Weller,Stanley Road,1995-01-01,0.339,-13.156,72.637,0.297,0.444,3:38
44,3ovjw5HZZv43SxTwApooCM,Wind Of Change,Scorpions,Crazy World,1990-01-01,0.524,-10.108,151.505,0.246,0.452,5:12
45,7qK3JFriCqLorQivsJYG2X,Stayin Alive,Bee Gees,The Ultimate Bee Gees,2009-11-03,0.831,-7.225,103.573,0.949,0.703,4:43
46,7f9sC9fvtjYSZYOLSmKJlq,Tom's Diner,"Suzanne Vega, DNA",Tom's Album,1991-01-01,0.439,-12.264,99.144,0.725,0.86,3:48
47,4UQLQJu3DNvVkMVglwElU2,The King of Wishful Thinking,Go West,Indian Summer,1992-11-14,0.868,-7.377,107.885,0.913,0.669,4:01
48,5xl5582IihbEZAnfj0xyso,Straight Up,Paula Abdul,Forever Your Girl,1988-01-01,0.826,-8.252,95.862,0.762,0.769,4:10
49,5HQ639Z3ms3hnZx0KfWnkp,Private Eyes,Daryl Hall & John Oates,Private Eyes (Expanded Edition),1981,0.938,-6.889,120.826,0.84,0.85,3:37
50,5FMXrphygZ4z3gVDHGWxgl,Copacabana (At the Copa),Barry Manilow,Dance Vault Mixes - Copacabana (At The Copa),2006-09-12,0.899,-6.412,116.735,0.66,0.606,3:56
51,7j74lucZ59vqN67Ipe2ZcY,Maneater,Daryl Hall & John Oates,H2O,1982-10-04,0.498,-13.083,88.825,0.823,0.724,4:33
52,5MoDQWMDMaAGDEiWsJfeCi,Eternal Flame,The Bangles,The Essential Bangles,2004,0.358,-7.239,78.989,0.399,0.526,3:58
53,60PzUC83LQmnMcQzivcADi,Un fatto ovvio,Laura Pausini,Primavera in anticipo,2008-11-11,0.505,-5.64,149.809,0.156,0.472,3:08
54,165NAtd2DRPKNQ6EVY0VG9,The Tide Is High - Edit,Blondie,Tide Is High,1980-10-01,0.667,-7.273,96.954,0.964,0.778,3:53
55,47W6YR93MPCGLEUReLMyDm,Virtual Insanity - Remastered,Jamiroquai,High Times: Singles 1992-2006 (Remastered),2006-11-06,0.949,-4.758,91.954,0.516,0.662,3:49
56,0ju1jP0cSPJ8tmojYBEI89,Danny's Song,Loggins & Messina,The Best: Loggins & Messina Sittin' In Again,1971,0.258,-12.193,141.003,0.641,0.505,4:14
