,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,4j750OTFIMr8QB4ovQJPGv,Feeling This,blink-182,blink-182,2003-01-01,0.978,-4.024,173.128,0.487,0.411,2:52
1,33f351PRRvqSk9IlNdGws0,Obvious,blink-182,blink-182,2003-01-01,0.979,-4.314,170.33,0.486,0.322,2:43
2,1oTo3ijRbaDAtrjJrGAPSw,I Miss You,blink-182,blink-182,2003-01-01,0.781,-6.547,110.0,0.593,0.664,3:47
3,4Ar0cw0SPK78LgVqj5lVdE,Violence,blink-182,blink-182,2003-01-01,0.804,-5.845,119.185,0.407,0.637,3:39
4,2wMqxbWlfIIaVzpYtFG4HY,Stockholm Syndrome,blink-182,blink-182,2003-01-01,0.989,-3.001,173.182,0.487,0.394,2:41
5,1e1krgHCTUGDhhIgsRVHJ0,Down,blink-182,blink-182,2003-01-01,0.913,-6.501,93.987,0.289,0.55,3:03
6,3HYAlGJR2YrDM2QZyLQmlv,Go,blink-182,blink-182,2003-01-01,0.979,-3.671,182.15,0.777,0.396,1:53
7,7stdOFyftbIPvEmmRrHe66,Asthenia,blink-182,blink-182,2003-01-01,0.919,-5.278,174.865,0.272,0.41,4:19
8,1JfNuvdAIqI3ggkzXuBvPp,Always,blink-182,blink-182,2003-01-01,0.95,-3.858,158.322,0.562,0.456,4:11
9,4OVQGNnqSoojEd4otegakp,Easy Target,blink-182,blink-182,2003-01-01,0.991,-3.138,159.757,0.445,0.507,2:20
10,2AtI9RfFqGxskGfBdyPWbg,All Of This,"blink-182, Robert Smith ",blink-182,2003-01-01,0.646,-5.326,117.632,0.691,0.686,4:40
11,3POvCbO5MDBcksaySvmYdv,Here's Your Letter,blink-182,blink-182,2003-01-01,0.952,-3.371,176.176,0.717,0.423,2:54
12,4uGQL3tGODimyeLlfqXPAW,I'm Lost Without You,blink-182,blink-182,2003-01-01,0.699,-6.097,85.3,0.348,0.392,6:20
13,1D23LHWrtlQL9QwxDaUjXZ,Dumpweed,blink-182,Enema Of The State,1999-01-01,0.947,-5.513,100.717,0.6,0.465,2:23
14,1wJ2lVkniPnozMCTYzvPi8,Don't Leave Me,blink-182,Enema Of The State,1999-01-01,0.951,-6.941,145.406,0.301,0.316,2:23
15,3OqvxOIBOvcmYRo6vWSvmq,Aliens Exist,blink-182,Enema Of The State,1999-01-01,0.914,-6.686,107.567,0.668,0.459,3:12
16,0bDmuUdF74kuh8JKlUNiz4,Going Away To College,blink-182,Enema Of The State,1999-01-01,0.821,-6.414,104.528,0.585,0.535,2:59
17,5JZcX7TTLx4l0xFIXJ3DBt,What's My Age Again?,blink-182,Enema Of The State,1999-01-01,0.956,-7.376,157.706,0.561,0.403,2:28
