track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration,playlist
6WdKzXgNyPeSOBI8OWN6Zp,OOH-AHH하게 Like OOH-AHH,TWICE,THE STORY BEGINS,2015-10-20,0.8759999999999999,-1.166,141.997,0.6940000000000001,0.72,03:35,tteokbokki
2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,BLACKPINK,SQUARE UP,2018-06-15,0.8590000000000001,-3.9219999999999997,139.931,0.39,0.6709999999999999,03:29,tteokbokki
5COO2JgOmHIJ2jsXFwflz8,Breakthrough,TWICE,Breakthrough,2019-06-12,0.728,-3.338,112.006,0.616,0.868,03:37,tteokbokki
0u7aRGM7YmvtsmG5NSrNsO,Feel Special,TWICE,Feel Special,2019-09-23,0.9590000000000001,-1.339,128.983,0.644,0.7090000000000001,03:26,tteokbokki
4gjVhOuUPOpF23uKkcfVYU,What is Love?,TWICE,Summer Nights,2018-07-09,0.91,-1.578,169.982,0.602,0.573,03:28,tteokbokki
7lthOBXNue2IvedLRfkod8,HOME,BTS,MAP OF THE SOUL : PERSONA,2019-04-12,0.799,-4.625,142.991,0.535,0.633,03:54,tteokbokki
4QcHRRDS0ayymLybzKNZq4,Heart Shaker,TWICE,Merry & Happy,2017-12-11,0.943,-0.532,164.05900000000003,0.855,0.565,03:06,tteokbokki
4yHirr98dp1NGM569hne9p,KNOCK KNOCK,TWICE,TWICEcoaster : LANE 2,2017-02-20,0.968,-2.636,129.972,0.47600000000000003,0.6729999999999999,03:15,tteokbokki
0x9y2S5meCeLvHz6WAGjxu,SIGNAL,TWICE,SIGNAL,2017-05-15,0.7709999999999999,-2.565,207.86,0.63,0.616,03:16,tteokbokki
06rOypJlNqSmHXT3FymVp6,GET LOUD,TWICE,Feel Special,2019-09-23,0.956,-3.636,119.999,0.851,0.727,03:06,tteokbokki
4xR7N8Y9OgSkGmhn5WefmQ,하루에 세번 THREE TIMES A DAY,TWICE,SIGNAL,2017-05-15,0.747,-3.61,152.003,0.732,0.638,03:11,tteokbokki
5jJWV34duiWVCQwGSFo463,HOT,TWICE,FANCY YOU,2019-04-22,0.565,-6.775,119.965,0.7759999999999999,0.755,02:57,tteokbokki
3rhlUWruyuJXfR2yX1wSVu,TT,TWICE,TWICEcoaster: LANE1,2016-10-24,0.853,-4.398,129.946,0.39899999999999997,0.708,03:32,tteokbokki
3D75hig6Ahi4Nihwd37XWj,GIRLS LIKE US,TWICE,FANCY YOU,2019-04-22,0.698,-4.367,97.988,0.6809999999999999,0.7240000000000001,02:38,tteokbokki
4UrwWEoLgWhunBElUtoQDX,Headphone 써 My Headphones on,TWICE,PAGE TWO,2016-04-25,0.649,-5.388999999999999,101.977,0.21100000000000002,0.648,03:16,tteokbokki
5Z4aqpT39KpY8gbHoJWdou,Egotistic,MAMAMOO,RED MOON,2018-07-16,0.833,-3.3139999999999996,97.898,0.595,0.616,03:16,tteokbokki
24nK8tW7Pt3Inh2utttuoG,HIP,MAMAMOO,reality in BLACK,2019-11-14,0.731,-4.581,138.032,0.8240000000000001,0.782,03:15,tteokbokki
