,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,21DMNxn3lLWYqaTm3MeGAn,Hotel California - 2013 Remaster,Eagles,Hotel California (40th Anniversary Expanded Edition),1976-12-08,0.508,-9.484,147.125,0.609,0.579,6:31
1,4MhTFsyqIJnjsOweVcU8ug,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-07-21,0.901,-7.711,125.148,0.696,0.449,5:56
2,0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,Pat Benatar,Crimes Of Passion,1980-08-05,0.58,-9.05,127.402,0.944,0.741,2:51
3,0PXWpNBYg52gABrn1qL1bD,Unwell - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,2007-10-02,0.793,-5.152,80.985,0.437,0.442,3:57
4,1uzWOoJdADfstQuFtQFTUn,Breakfast At Tiffany's,Deep Blue Something,Home,1995-01-01,0.829,-5.548,110.367,0.539,0.622,4:17
5,5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02,0.865,-4.918,174.53,0.478,0.372,4:18
6,087OBLtoeS3Q6j0k6tMNAI,Closing Time,Semisonic,Feeling Strangely Fine,1998-01-01,0.867,-5.483,92.757,0.281,0.486,4:33
7,0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),"Santana, Rob Thomas",Supernatural (Remastered),1999-06-15,0.923,-3.908,115.996,0.961,0.609,4:54
8,48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,0.767,-2.788,96.483,0.328,0.592,5:29
9,0u4htORODiTK9vHVA89MQX,Lovefool - Radio Edit,The Cardigans,First Band On The Moon,1996-09-17,0.602,-7.902,111.87,0.951,0.64,3:13
10,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),1976,0.786,-5.735,126.755,0.793,0.482,5:23
11,1brpdmqkx3kSxyqzqXfW7J,Heaven's On Fire,KISS,Animalize,1984-09-13,0.866,-6.053,124.324,0.785,0.679,3:21
12,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,Boston,1976,0.681,-8.039,108.789,0.285,0.377,4:45
13,1t2Hq2WIBcZINOEnK6mdJG,Save Tonight,Eagle-Eye Cherry,Desireless,1998-07-13,0.693,-8.786,119.567,0.583,0.547,3:59
14,1OzY7RRZh3EcIKn7VKZUTx,Dancing in the Moonlight - 2001 Remix,Toploader,Onka's Big Moka,2000,0.842,-3.107,119.023,0.945,0.748,3:53
15,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),1977,0.322,-10.687,93.503,0.387,0.475,3:26
16,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15,0.795,-9.267,158.691,0.612,0.464,3:22
17,54eZmuggBFJbV7k248bTTt,A Horse with No Name,"America, George Martin",America,1972,0.506,-17.18,123.179,0.831,0.654,4:12
18,2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,0.9,-3.674,104.655,0.599,0.427,5:34
