,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,3DPFmwFtV5ElQaTniLOdgk,Hunnybee,Unknown Mortal Orchestra,Sex & Food,2018-04-06,0.373,-7.963,119.994,0.568,0.956,4:28
1,5WMr0rpgYeYXNSXar5IAvi,FFYL,Quinn XCII,Change of Scenery,2015-04-28,0.762,-4.76,120.038,0.591,0.722,3:46
2,5WsCmd32VvISX0RrTUZgc8,Wanderlust - Pharrell Remix,The Weeknd,Wanderlust,2014-06-17,0.598,-7.475,116.007,0.479,0.744,5:05
3,6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) [Krono Remix],2014-11-07,0.741,-6.529,119.896,0.357,0.72,3:18
4,2mlGPkAx4kwF8Df0GlScsC,Buttercup,Jack Stauber,Pop Food,2017-03-25,0.373,-9.066,120.046,0.551,0.705,3:28
5,6KKHXbJtnJPjla3V49YPac,"Prune, You Talk Funny",Gus Dapperton,"Prune, You Talk Funny",2017-12-05,0.75,-7.193,140.063,0.578,0.57,3:32
6,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,Currents,2015-07-17,0.74,-4.083,116.879,0.785,0.64,3:36
7,7rig9YRhho4jJ2LBMGekfj,No Going Back,Yuno,No Going Back,2018-02-21,0.713,-5.52,93.005,0.9,0.714,3:28
8,3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,Phoenix,United,2000-03-06,0.553,-9.449,119.7,0.836,0.755,4:26
9,0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,Never Trust a Happy Song,2011-09-02,0.936,-5.835,112.96,0.371,0.56,3:38
10,0WKmVAD4VWk5EdTyCFILi4,Needs,Verzache,Needs,2018-02-14,0.601,-7.552,118.981,0.855,0.813,2:57
11,2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",Random Access Memories,2013-05-17,0.585,-9.516,109.942,0.518,0.775,5:37
12,7dzUZec5MnWMyQnk5klnKR,Grace Kelly,MIKA,Life in Cartoon Motion,2007-01-01,0.82,-5.796,122.361,0.685,0.671,3:07
13,5mIOsPuQdXchVY0jB5NO9Q,4EVER,Clairo,4EVER,2018-04-27,0.585,-7.576,102.331,0.584,0.75,2:39
14,2AA1f7utyvXpmtKsEvp5lz,dayfly,"DEAN, SULLI, Rad Museum",dayfly,2018-11-09,0.492,-8.046,85.939,0.526,0.726,3:27
15,6GS3lnAVy5w6AHWEKYzYeS,What 2 Do,"DEAN, Crush, Jeff Bernat",130 Mood : TRBL,2016-03-25,0.531,-5.669,95.061,0.511,0.632,3:44
16,6z1kLsntE7FuzKZHZWrXYN,instagram,DEAN,instagram,2017-12-26,0.566,-6.195,93.921,0.219,0.463,4:15
17,22UDw8rSfLbUsaAGTXQ4Z8,American Boy,"Estelle, Kanye West",Shine,2008-03-28,0.729,-2.99,117.932,0.512,0.727,4:44
18,1HA2V2EfAgJUBVOju4YfiB,Just A Stranger (feat. Steve Lacy),"Kali Uchis, Steve Lacy",Isolation,2018-04-06,0.672,-5.738,108.031,0.641,0.745,2:57
19,2Nh2cMryoXl7BrZoIeN2Pr,Dapper (feat. Anderson .Paak),"Domo Genesis, Anderson .Paak",Genesis,2016-03-25,0.594,-9.486,112.568,0.562,0.753,3:13
20,3I8yVFjvJoOBM9tX4ZpxEL,Ryd,Steve Lacy,Steve Lacy's Demo,2017-02-24,0.94,-7.327,137.003,0.979,0.784,2:20
