,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
0,6WdKzXgNyPeSOBI8OWN6Zp,OOH-AHH하게 Like OOH-AHH,TWICE,THE STORY BEGINS,2015-10-20,0.876,-1.166,141.997,0.694,0.72,03:35
1,2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,BLACKPINK,SQUARE UP,2018-06-15,0.859,-3.922,139.931,0.39,0.671,03:29
2,5COO2JgOmHIJ2jsXFwflz8,Breakthrough,TWICE,Breakthrough,2019-06-12,0.728,-3.338,112.006,0.616,0.868,03:37
3,0u7aRGM7YmvtsmG5NSrNsO,Feel Special,TWICE,Feel Special,2019-09-23,0.959,-1.339,128.983,0.644,0.709,03:26
4,4gjVhOuUPOpF23uKkcfVYU,What is Love?,TWICE,Summer Nights,2018-07-09,0.91,-1.578,169.982,0.602,0.573,03:28
5,7lthOBXNue2IvedLRfkod8,HOME,BTS,MAP OF THE SOUL : PERSONA,2019-04-12,0.799,-4.625,142.991,0.535,0.633,03:54
6,4QcHRRDS0ayymLybzKNZq4,Heart Shaker,TWICE,Merry & Happy,2017-12-11,0.943,-0.532,164.059,0.855,0.565,03:06
7,4yHirr98dp1NGM569hne9p,KNOCK KNOCK,TWICE,TWICEcoaster : LANE 2,2017-02-20,0.968,-2.636,129.972,0.476,0.673,03:15
8,0x9y2S5meCeLvHz6WAGjxu,SIGNAL,TWICE,SIGNAL,2017-05-15,0.771,-2.565,207.86,0.63,0.616,03:16
9,06rOypJlNqSmHXT3FymVp6,GET LOUD,TWICE,Feel Special,2019-09-23,0.956,-3.636,119.999,0.851,0.727,03:06
10,4xR7N8Y9OgSkGmhn5WefmQ,하루에 세번 THREE TIMES A DAY,TWICE,SIGNAL,2017-05-15,0.747,-3.61,152.003,0.732,0.638,03:11
11,5jJWV34duiWVCQwGSFo463,HOT,TWICE,FANCY YOU,2019-04-22,0.565,-6.775,119.965,0.776,0.755,02:57
12,3rhlUWruyuJXfR2yX1wSVu,TT,TWICE,TWICEcoaster: LANE1,2016-10-24,0.853,-4.398,129.946,0.399,0.708,03:32
